scaffold,start,end,mid,sites,pi_Hls1,pi_Hls2,dxy_Hls1_Hls2,Fst_Hls1_Hls2
scaffold_1,6263174,6295328,6278475,25000,0.000561,0.000601,0.005967,0.829921
scaffold_1,6295329,6320806,6308030,25000,0.001683,0.001598,0.007334,0.646226
scaffold_1,6320807,6346351,6333626,25000,0.002734,0.002723,0.009645,0.571568
scaffold_1,6346352,6374856,6360453,25000,0.001129,0.001247,0.01228,0.830887
scaffold_1,6374857,6400835,6387789,25000,0.00163,0.001649,0.006738,0.620757
scaffold_1,6400837,6427059,6413941,25000,0.001117,0.001028,0.007748,0.766081
scaffold_1,6427060,6462893,6442588,25000,0.001507,0.001429,0.010543,0.764926
scaffold_1,6462894,6488762,6475832,25000,0.001601,0.001296,0.009502,0.743302
scaffold_1,6488763,6514972,6501940,25000,0.001285,0.001101,0.011292,0.81546
scaffold_1,6514973,6576859,6551715,25000,0.00048,0.000504,0.0121,0.926326
scaffold_1,6576860,6604884,6591594,25000,0.000896,0.000765,0.009251,0.839516
scaffold_1,6604885,6641044,6618593,25000,0.000685,0.000727,0.011283,0.887449
scaffold_1,6641045,6666383,6653745,25000,0.001807,0.001813,0.009057,0.678138
scaffold_1,6666384,6692415,6679553,25000,0.000615,0.000629,0.01195,0.905504
scaffold_1,6692416,6720464,6706239,25000,0.000247,0.000368,0.004411,0.874345
scaffold_1,6720465,6752115,6737970,25000,0.001062,0.00112,0.005922,0.699768
scaffold_1,6752116,6777646,6764911,25000,0.00119,0.00123,0.017041,0.873186
scaffold_1,6777647,6804158,6791008,25000,0.001449,0.001445,0.010422,0.765505
scaffold_1,6804159,6830486,6817551,25000,0.000909,0.0011,0.008472,0.796457
scaffold_1,6830487,6858638,6845133,25000,0.000661,0.000644,0.009306,0.874729
scaffold_1,6858639,6892298,6873732,25000,0.00054,0.000616,0.012234,0.913858
scaffold_1,6892299,6925099,6909763,25000,0.000474,0.000479,0.004692,0.8186
scaffold_1,6925100,6988143,6965111,25000,0.001477,0.00157,0.009453,0.731549
scaffold_1,6988144,7014221,7001178,25000,0.001334,0.001267,0.004403,0.556627
scaffold_1,7014222,7045126,7029266,25000,0.000524,0.000531,0.010748,0.910669
scaffold_1,7045127,7071036,7057834,25000,0.00135,0.000995,0.008364,0.75993
