#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Hrs.ref_sa	scaffold_48	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	7859	2335	17	0	9	192	259.44444444444446	2	838	2335	73988	74120.22222222222	1	196644	667082	2352	2352	2335	0.9927721088435374	0.9927721088435374	116343
Hrs.ref_sa	scaffold_49	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	15184	5830	84	0	7	780	832.8571428571429	180	1810	5830	73856	109301.42857142857	13914	325421	765110	5914	5914	5830	0.9857964152857626	0.9857964152857626	157442
Hrs.ref_sa	scaffold_50	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	13715	5369	59	0	5	684	1073.8	12	2392	5369	108306	131405.6	1119	331348	657028	5428	5428	5369	0.9891304347826086	0.9891304347826086	183020
Hrs.ref_sa	scaffold_51	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	7821	3176	41	0	8	164.0	397.0	3	1193	3176	56146.5	64695.75	5312	186466	517566	3217	3217	3176	0.9872552067143301	0.9872552067143301	66232
Hrs.ref_sa	scaffold_52	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	4037	1367	70	0	6	98.5	227.83333333333334	22	802	1367	83493.0	78615.0	18584	142860	471690	1437	1437	1367	0.9512874043145442	0.9512874043145442	91655
Hrs.ref_sa	scaffold_53	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	5132	4467	32	0	1	4467	4467.0	4467	4467	4467	541563	541563.0	541563	541563	541563	4499	4499	4467	0.9928873082907312	0.9928873082907312	541563
Hrs.ref_sa	scaffold_54	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	3990	1194	11	0	5	40	238.8	3	1069	1194	42027	55124.2	4878	132650	275621	1205	1205	1194	0.9908713692946058	0.9908713692946058	29641
Hrs.ref_sa	scaffold_55	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	3849	652	2	0	5	45	130.4	5	358	652	40990	39695.8	4265	88252	198479	654	654	652	0.9969418960244648	0.9969418960244648	0
Hrs.ref_sa	scaffold_56	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	5895	2799	123	0	3	970	933.0	6	1823	2799	109767	111672.33333333333	363	224887	335017	2922	2922	2799	0.9579055441478439	0.9579055441478439	224887
Hrs.ref_sa	scaffold_57	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	5541	23	11	0	3	7	7.666666666666667	6	10	23	8644	15932.666666666666	7146	32008	47798	34	34	23	0.6764705882352942	0.6764705882352942	0
Hrs.ref_sa	scaffold_58	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	2820	22	1	0	2	11.0	11.0	8	14	22	36137.0	36137.0	28256	44018	72274	23	23	22	0.9565217391304348	0.9565217391304348	0
Hrs.ref_sa	scaffold_59	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	927	346	0	0	2	173.0	173.0	128	218	346	41555.0	41555.0	33100	50010	83110	346	346	346	1.0	1.0	33100
Hrs.ref_sa	scaffold_60	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	450	309	1	0	2	154.5	154.5	153	156	309	19806.0	19806.0	6399	33213	39612	310	310	309	0.9967741935483871	0.9967741935483871	0
Hrs.ref_sa	scaffold_61	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	90	0	0	0	0	nan	nan	0	0	0	nan	nan	0	0	0	0	0	0	0.0	0.0	nan
Hrs.ref_sa	scaffold_62	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	831	304	1	0	1	304	304.0	304	304	304	31697	31697.0	31697	31697	31697	305	305	304	0.9967213114754099	0.9967213114754099	0
Hrs.ref_sa	scaffold_63	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	1158	81	3	0	1	81	81.0	81	81	81	46735	46735.0	46735	46735	46735	84	84	81	0.9642857142857143	0.9642857142857143	46735
Hrs.ref_sa	scaffold_64	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	208	0	0	0	0	nan	nan	0	0	0	nan	nan	0	0	0	0	0	0	0.0	0.0	nan
Hrs.ref_sa	scaffold_65	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	571	2	1	0	1	2	2.0	2	2	2	1719	1719.0	1719	1719	1719	3	3	2	0.6666666666666666	0.6666666666666666	0
Hrs.ref_sa	scaffold_66	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	38	0	0	0	0	nan	nan	0	0	0	nan	nan	0	0	0	0	0	0	0.0	0.0	nan
Hrs.ref_sa	scaffold_67	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	24	0	0	0	0	nan	nan	0	0	0	nan	nan	0	0	0	0	0	0	0.0	0.0	nan
