scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_44,96015,216872,171547,25000,0.00387,0.00324,0.003744,0.02761,129601,scaffold_44_2
scaffold_46,808922,855507,834074,25000,0.002905,0.003794,0.003702,0.053094,105335,scaffold_46_1
scaffold_46,855508,957355,884365,25000,0.003349,0.002089,0.00278,0.011828,105335,scaffold_46_1
scaffold_46,1133049,1311347,1267730,25000,0.003051,0.002823,0.002667,-0.051661,105222,scaffold_46_2
scaffold_47,6737,109605,31730,25000,0.001332,0.002306,0.001754,-0.019303,127216,scaffold_47_1
scaffold_47,383744,493695,459557,25000,0.006194,0.005353,0.007464,0.13507,195233,scaffold_47_2
scaffold_47,493696,691314,588982,25000,0.002414,0.00207,0.002886,0.129282,195233,scaffold_47_2
scaffold_47,691316,855025,813656,25000,0.001452,0.002216,0.001729,-0.063802,314667,scaffold_47_3
scaffold_47,855026,910889,888663,25000,0.003949,0.003898,0.003734,-0.025153,314667,scaffold_47_3
scaffold_47,910890,1029130,950164,25000,0.004626,0.003843,0.006019,0.178965,314667,scaffold_47_3
scaffold_47,1190388,1478125,1360838,25000,0.002167,0.00322,0.002876,0.033825,339104,scaffold_47_5
scaffold_47,1478126,1553055,1521739,25000,0.004025,0.005336,0.005071,0.042605,339104,scaffold_47_5
scaffold_47,1553056,1614773,1582896,25000,0.003793,0.004542,0.004267,0.012657,339104,scaffold_47_5
scaffold_47,1614774,1692403,1660561,22527,0.00617,0.004427,0.005295,-0.000422,339104,scaffold_47_5
scaffold_48,104948,167691,137030,25000,0.005585,0.005151,0.004836,-0.055818,131450,scaffold_48_1
scaffold_48,361792,483187,437090,25000,0.004703,0.004241,0.00484,0.042094,138617,scaffold_48_2
scaffold_5,185217,295781,253199,25000,0.00152,0.001799,0.001468,-0.065597,147380,scaffold_5_1
scaffold_5,606569,705361,668632,25000,0.001703,0.001318,0.001658,0.047105,312388,scaffold_5_2
scaffold_5,705362,798642,727646,25000,0.001254,0.002328,0.001709,-0.024801,312388,scaffold_5_2
scaffold_5,798643,872988,835302,25000,0.000645,0.000838,0.000802,0.058276,312388,scaffold_5_2
scaffold_5,872989,959545,907275,25000,0.001001,0.000994,0.000875,-0.069861,312388,scaffold_5_2
scaffold_5,959546,1163484,1037365,25000,0.00119,0.002306,0.001576,-0.053688,293226,scaffold_5_3
scaffold_5,1163485,1221830,1193113,25000,0.001216,0.001871,0.00194,0.120525,293226,scaffold_5_3
scaffold_5,1221831,1274018,1249356,25000,0.001715,0.001963,0.004647,0.449144,293226,scaffold_5_3
scaffold_5,1274019,1349935,1307812,25000,0.003665,0.001841,0.002827,0.014166,293226,scaffold_5_3
scaffold_5,1349936,1413567,1385466,25000,0.001266,0.001453,0.001208,-0.063339,223224,scaffold_5_4
scaffold_5,1413568,1479209,1435899,25000,0.0019,0.001252,0.001458,-0.041433,223224,scaffold_5_4
scaffold_5,1479210,1508445,1494185,25000,0.002942,0.002035,0.002932,0.084362,223224,scaffold_5_4
scaffold_5,1628444,1684494,1653112,25000,0.001145,0.001113,0.001134,0.002234,116061,scaffold_5_5
scaffold_5,1684496,1786582,1710896,25000,0.001043,0.001248,0.002145,0.320981,116061,scaffold_5_5
scaffold_5,1786584,1848699,1808082,25000,0.002867,0.001788,0.004283,0.309482,169788,scaffold_5_6
scaffold_5,1848700,1918290,1888081,25000,0.006408,0.007625,0.007199,0.013638,169788,scaffold_5_6
scaffold_5,1918291,1985763,1957403,25000,0.004394,0.003715,0.004387,0.041932,124196,scaffold_5_7
scaffold_5,1985765,2079208,2020245,25000,0.003521,0.002835,0.003414,0.038121,124196,scaffold_5_7
scaffold_5,2550007,2590898,2570375,25000,0.004225,0.002641,0.00465,0.158963,107837,scaffold_5_8
scaffold_5,2944570,2988134,2960792,25000,0.002429,0.002446,0.00304,0.116446,100031,scaffold_5_9
scaffold_5,2988135,3058630,3033023,25000,0.00356,0.003154,0.003696,0.051093,100031,scaffold_5_9
scaffold_50,8269,48043,26488,25000,0.001667,0.001656,0.001456,-0.070469,180219,scaffold_50_1
scaffold_50,48045,97117,68883,25000,0.001671,0.001419,0.001366,-0.063609,180219,scaffold_50_1
scaffold_50,97118,213635,143919,25000,0.001165,0.001344,0.001823,0.194674,180219,scaffold_50_1
scaffold_50,788834,931880,857756,25000,0.001466,0.001322,0.001416,0.00825,130603,scaffold_50_2
scaffold_50,931881,980007,966266,25000,0.001043,0.001354,0.001374,0.087325,324605,scaffold_50_3
scaffold_50,980008,1008201,993791,25000,0.002758,0.001681,0.003343,0.207562,324605,scaffold_50_3
scaffold_50,1008202,1056665,1032536,25000,0.006565,0.001416,0.004633,0.079087,324605,scaffold_50_3
scaffold_50,1056666,1122160,1081553,25000,0.003251,0.000767,0.003858,0.284366,324605,scaffold_50_3
